"Title","Sales Rank: Current","Sales Rank: Drops last 90 days","Monthly Sales Trends: Bought in past month","Reviews: Rating Count","Buy Box: Current","Amazon: Current","New Offer Count: Current","ASIN","Parent ASIN","Package: Length (cm)","Package: Width (cm)","Package: Height (cm)","Package: Weight (g)"
"New Amazon Kindle Scribe Colorsoft | 11インチカラーディスプレイ、64GBストレージ、ノート機能搭載、明るさ自動調整、色調調節ライト、プレミアムペン付き、グラファイト","33","43","100","115","¥ 115,980","¥ 115,980","1","B0FC1XTK8P","B0H1JBYMGV","31.2","29.8","2.9","840"
"【整備済み品】 MS Office 2024 H&B 搭載｜2in1 ノートパソコン タッチパネル対応 IdeaPad D330 Windows11Pro 10.1型 HD IPS液晶 Intel Celeron メモリ 4GB eMMC 64GB Webカメラ搭載 Type-C USB3.1 日本語 キーボード搭載","36","34","","410","¥ 14,800","","1","B0CYSX1FHM","","30.4","22.2","8.8","1600"
"Amazon Kindle Colorsoft シグニチャーエディション | 32GBストレージ、防水、7インチカラーディスプレイ、色調調節ライト、最大8週間持続バッテリー、広告無し、メタリックブラック (2025年発売)","37","41","200","2038","¥ 44,980","¥ 44,980","1","B0CX8Y3CMG","B0FTPY8W57","20.1","17.2","3.2","460"
"【整備済み品】Apple iPad Air 11 インチ (M3) Wi-Fi 128GB ブルー","37","7","","20","¥ 118,800","","3","B0F4CJH3VD","B0F4C12TD2","35.4","26.2","6.9","860"
"【整備済み品】 Apple iPad mini (第６世代) Wi-Fi 64GB スターライト (整備済み品)","38","9","50","283","¥ 63,499","","4","B0BKPGD8YK","B0BKPB771G","27.4","20.2","3.3","460"
"【整備済み品】 NECノートパソコンVK27 15.6型 第4世代Corei5-4210U Office 2024 4GB 128GB","49","37","50","137","¥ 11,799","","1","B0BFFLR8XF","B0GYYXNG9D","46.8","29.6","9.4","2780"
"【整備済み品】 Apple iPad Air (第５世代) Wi-Fi + Cellular 64GB スターライト (整備済み品)","40","8","","79","¥ 64,980","","1","B0BCNY29CY","B0BCP2QCDZ","32.5","23.8","3.3","720"
"【整備済み品】Apple iPad Air 13 インチ (M3) Wi-Fi 1TB パープル","56","4","","9","¥ 188,800","","","B0F4C126BV","B0F4BS9TJ8","36.6","27","4.4","860"
"【整備済み品】 Panasonic Let`s note CF-SV7 ■ 軽量化12.1型WUXGA(1920×1200) - 第8世代Intel Core i5 プロセッサー - 8GB RAM - 256GB M.2 SSD - WiFi&Bluetooth - Webカメラ内蔵 - Type-C - MS Office 2019 - Win11搭載 (整備済み品)","39","47","50","207","¥ 23,700","","1","B0CJFQWJ7S","B0CJFW3C1N","42.5","27.1","9","1540"
"EMEET C980pro WEBカメラ ウェブカメラ 1台3役","45","53","50","23","¥ 6,399","","1","B0DRCJ23TK","B0C9SLKZWH","17.2","8.4","7.4","310"
