"Title","Sales Rank: Current","Sales Rank: Drops last 90 days","Monthly Sales Trends: Bought in past month","Reviews: Rating Count","Buy Box: Current","Amazon: Current","New Offer Count: Current","ASIN","Parent ASIN","Package: Length (cm)","Package: Width (cm)","Package: Height (cm)","Package: Weight (g)"
"MAXZEN 冷蔵庫 35L ペルチェ式 コンパクト 霜取り不要 大容量 右開き 1ドア 幅45cm サブ冷蔵庫 温度調節 静音 省スペース 仕切り調節可能 白 ホワイト MRP35HD01 マクスゼン","184","63","50","9","¥ 11,980","","3","B0FHH1LH8N","B0D251VJVH","50.5","47.5","46","11700"
"simplus 二層式洗濯機 洗濯機 縦型二槽式 節電 エコ 軽量 コンパクト ステンレス槽 まとめ洗い 容量7kg 脱水5.5kg 脱水器 部屋干し 単身 家電 新生活 シンプラス SP-NWM02 (7kg/ホワイト)","184","40","","515","¥ 19,999","","1","B0FPQHN361","B0GLYTGNRT","","","",""
"SAMKYO 洗濯機 7kg 全自動 一人暮らし 幅51㎝ 最短10分洗濯 透明ガラスドア 槽洗浄 予約機能 コンパクト 1-4人用 部屋干し スリム 静音 B700 ブラック","193","67","50","190","¥ 29,990","","1","B0FD9V3SZJ","B0FG26JYMJ","87","56","56","31000"
"WIE ワインセラー 8本収納 省エネ エコ 振動抑制 恒温保湿 安定性能 【PSE安全認証+2層紫外線UVカット強化グラス】 コンパクトモデル 日本チップ ワインクーラー 缶ビール 日本酒保存 温度設定 家庭業務用","215","65","50","1278","¥ 19,999","","1","B08R8SS8QM","B0HF43MMLG","55.4","50.2","30.6","10260"
"【商品配送のみ・スタンド別売】日立 衣類乾燥機 5.0kg ピュアホワイト DE-N50HV W 風乾燥","224","66","100","258","¥ 55,198","","16","B0BJPMQN8P","B0C8M3N94Q","75","72","50","27000"
"【一人暮らしにちょうどいい！】 SKK 冷蔵庫 60L 一人暮らし 冷凍庫付き 2ドア 省エネ 静音 家庭用 ミニ冷蔵庫 小型 コンパクト 【日本企業】 ブラック","230","71","100","44","¥ 16,880","","1","B0F1FM7HDW","B0DLNWYGDZ","","","",""
"アイリスプラザ レトロ冷蔵庫 冷凍冷蔵庫 81L コンパクトでも大容量 一人暮らし 小型 おしゃれ ノンフロン ホワイト PRR-082D-W","238","59","50","35","¥ 26,800","","1","B0FL797XG3","B0FM34KKGN","97.5","59.5","51.5","28000"
"【SNS1000万再生突破】 Yoquna (ヨクナ) ムーンドライ 衣類乾燥機 容量6kg UV照射衣類ケア 高温60℃ 乾燥検知自動停止 GDZ60-628ES (ホワイト,操作下部Proモデル)","238","61","50","49","¥ 47,770","","1","B0DNK9THGD","B0HCLDDXW1","","","",""
"SAMKYO 冷蔵庫 スリム 65L 幅44.4cm 小型 直冷式 右開き 1ドア 静音 耐熱天板 一人暮らし用 GU65S ホワイト","243","56","100","82","¥ 17,990","","1","B0FBWRBRTD","B0HF8FRC24","66","47.2","46.2","16150"
"SAMKYO 冷凍庫 100L 前開き 家庭用 セカンド冷凍庫 大容量 急速冷凍 縦型 4段階温度調節 小型 コンパクト 静音 省エネ 耐熱天板 ZU100 ホワイト","212","70","100","333","¥ 23,989","","1","B0FMYJ4V9Z","B0FVFQBLB2","87","57","55","30000"
