"Title","Sales Rank: Current","Sales Rank: Drops last 90 days","Monthly Sales Trends: Bought in past month","Reviews: Rating Count","Buy Box: Current","Amazon: Current","New Offer Count: Current","ASIN","Parent ASIN","Package: Length (cm)","Package: Width (cm)","Package: Height (cm)","Package: Weight (g)"
"ファンケル FANCL 泥ジェル洗顔 120g×4本 約240回分 洗顔 洗顔ジェル 毛穴 黒ずみ 角栓 いちご鼻 泥洗顔 泥パック クレイ","194","75","50","2168","¥ 5,010","","1","B0DRG2D5YP","B0BZVDJZGM","18.4","10","9.8","630"
"【毛髪診断士(R)監修】 チャップアップ リンスイン スカルプシャンプー シャンプー 300mL×詰替2袋","195","74","200","1891","¥ 6,000","","1","B0GQH4JV9D","B0BXNCNVYY","26","22","4","650"
"PHENIX EYE (フェニックスアイ) ドローブ アイブロウコーティング 6g & アイラッシュサポートジェル 9 mL セット ― 透明ジェル 眉毛・まつげコーティング剤","196","64","","1","¥ 5,720","","1","B0FC6K1Q46","B0DWXF76MD","19.6","14.6","2.4","60"
"Yunth(ユンス) 生VC 導入美容液 3個セット 88日分 [導入美容液サンプル4包付き] コスメ スキンケア 毛穴 化粧品 フェイスケア","207","80","200","71","¥ 9,504","","1","B0D7C9726N","B0GXYR5772","21.4","21","5.9","230"
"スカルプD 薬用シャンプー＆薬用ボリュームアップコンディショナー つけかえ用 オイリー2点セット 脂性肌用 医薬部外品 約2ヶ月分","212","81","1000","423","¥ 8,600","","1","B0BFHWP6MY","B0GY8H2WSV","22.8","22.7","6.5","790"
"KisoCare【アゼライン酸セット】クリーム 美容液 化粧水 パック 計4種8点 グリシルグリシン ナイアシンアミド ビタミンC 15% 20%","229","65","","29","¥ 5,980","","1","B0DPWNJXCP","B0H1QMKCL7","18.4","11.3","4.4","440"
"ニューモ ファーマフーズ 3年連続世界一の育毛剤 シリアルナンバー付 医薬部外品 75ml 1本 男性用 女性用 発毛促進 28種の頭皮ケア保護成分 無添加 抜け毛予防 脱毛予防 薄毛対策 頭皮トリートメント 頭皮保護成分 HGP配合","230","82","4000","2711","¥ 6,273","","1","B09PTN2GR8","B0GZZMV8MB","14.5","4.2","4.2","130"
"BOTANIST ボタニスト ボタニカル シャンプー トリートメント スカルプブラシ 3点セット バウンシーボリューム","241","14","","325","¥ 5,060","","1","B0H69YJJZQ","B0HDPZLS75","24.5","15","8","1016"
"Gillette ジレット 髭剃り 本体 替刃 16個 カミソリ 剃刀 メンズ 深剃り フュージョン 【Amazon.co.jp限定】","255","72","1000","1359","¥ 5,508","¥ 5,508","1","B098WCDXBG","B0G4CK7FXZ","18.4","13","2.5","190"
"【毛髪診断士(R)監修】 チャップアップ 医薬部外品 120mL×3 ヘアトニック 育毛剤 男性用 発毛剤 スカルプケア 頭皮ケア CHAPUP","292","61","300","1113","¥ 17,424","","1","B09XQHH5K2","B0H2VDHR8Y","20.3","16.6","3","500"
