"Title","Sales Rank: Current","Sales Rank: Drops last 90 days","Monthly Sales Trends: Bought in past month","Reviews: Rating Count","Buy Box: Current","Amazon: Current","New Offer Count: Current","ASIN","Parent ASIN","Package: Length (cm)","Package: Width (cm)","Package: Height (cm)","Package: Weight (g)"
"【整備済み品】Apple iPhone 16 128GB ホワイト SIMフリー 5G対応","24","7","50","67","¥ 119,619","","14","B0DJXSKB4W","B0DJXSVH7X","24.8","20.1","5.2","290"
"【レンズスタンド内蔵・Magsafe対応】ESR いphone15Plus ケース 米軍MIL規格 耐衝撃 隠れスタンド iphone 15 Plus ケース スマホケース 傷防止背面 黄変防止 防指紋 iphone15plus ケース アジャスタブルスタンド ライトタン Cloudシリーズ","25","52","","4","¥ 6,237","","1","B0CC1DNNT2","B0G34HYC4F","17","9.6","1.9","109"
"【整備済み品】 Apple iPhone 11 64GB イエロー SIMフリー (整備済み品)","27","39","","1028","¥ 34,306","","2","B08B8ZQXYB","B08NC4XWRJ","24.9","20.4","5.2","360"
"【整備済み品】 Apple iPhone 15 Pro 256GB ホワイト チタニウム SIMフリー 5G対応 (整備済み品)","29","7","50","180","¥ 106,000","","4","B0CMWMPBGG","B0CMWLX28Z","30.4","22.7","5.2","390"
"【整備済み品】 Apple AirPods (第2世代) with Charging Case (整備済み品)","31","45","50","480","¥ 9,998","","6","B094X2SJ2X","","7.4","7.3","3.9","70"
"【整備済み品】Apple iPhone 16 Pro 512GB ブラックチタニウム SIMフリー 5G対応","31","6","","74","¥ 225,800","","2","B0DJXW9TPX","B0DJYQRVC8","25","20","5","500"
"【整備済み品】 Apple iPhone 13 Pro 512GB シエラブルー SIMフリー (整備済み品)","32","43","","306","¥ 77,020","","5","B09P83P8YV","B09P84KN5D","20","11.9","5.1","460"
"【整備済み品】 Apple iPod touch (第7世代) 32GB ブルー (整備済み品)","33","36","","85","¥ 29,502","","3","B097G5D1BQ","B097GC7N5N","16.8","12.3","3","150"
"【整備済み品】Apple iPhone17 512GB ホワイト SIMフリー 5G対応","35","8","","12","¥ 192,800","","","B0FZRGDZ87","B0FZQCMGQ6","25","20","5","400"
"Xiaomi REDMI Buds 8 Pro シャオミワイヤレスイヤホン Bluetooth ノイズキャンセリング Hi-Res 音質強化 防塵防水","36","136","200","1106","¥ 8,980","¥ 8,980","1","B0G5N98LBK","B0H83QM9R7","10.4","10.1","3.6","118"
"【整備済み品】【Google 認定再生品】Google Pixel 6a GB17L 128GB Charcoal SIMフリー","36","37","50","30","¥ 26,200","","1","B0DZMD97ZY","B0BQL3Q9PK","25.1","19.9","5.2","320"
"Echo Show 8 (エコーショー8) 第3世代（2024年発売） - HDスマートディスプレイ with Alexa、13メガピクセルカメラ付き、空間オーディオ｜チャコール","37","45","50","712","¥ 22,980","¥ 22,980","1","B0BLS56CT4","B0D99HQHFV","23.4","22.5","12.7","1700"
"【整備済み品】 Apple iPhone 15 Pro MAX 256GB ブルー チタニウム SIMフリー 5G対応 (整備済み品)","37","7","","108","¥ 172,800","","13","B0CMWLXM6H","B0CMWLPZVC","16.5","9","2.5","250"
"【整備済み品】【Google 認定再生品】Google Pixel 7a G82U8 128GB Sea SIMフリー","40","46","","28","¥ 35,900","","1","B0DZMKF5HV","B0DC4SXMXK","24.8","20","4.9","360"
"【整備済み品】 Apple iPhone 14 Pro 512GB ゴールド SIMフリー 5G対応 (整備済み品)","42","32","","244","¥ 130,000","","1","B0BLXZBSR7","B0BLY6YYRX","19.9","10","3.9","370"
